"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_PBWoodWallKit1","Set of items to build a wood wall |T1|","Set of items to build a wood wall |T1|","Sada předmětů pro stavbu dřevěné stěny |T1|","Set für den Bau einer Holzwand |T1|","Набор предметов для постройки стены из дерева |T1|","Zestaw elementów do budowy drewnianej ściany |T1|","Fából készült fal építéséhez szükséges elemek készlete |T1|","Set di articoli per la costruzione di una parete in legno |T1|","Conjunto de elementos para construir un muro de madera |T1|","Ensemble d'éléments pour construire un mur en bois |T1|","建造木墙的一套物品 |T1|","木製の壁を作るためのアイテム一式 |T1|","Conjunto de artigos para construir uma parede de madeira |T1|","建造木墙的一套物品 |T1|",
"STR_PBPlankDoorBarricadeKit0","Plank door barricade kit","Plank door barricade kit","Sada barikádových dveří z prken","Bausatz Plankentür-Barrikade","Комплект дверной баррикады из досок","Zestaw do barykadowania drzwi z desek","Deszka ajtó barikád készlet","Kit di barricate passanti per scaffali","Kit de barricada para puerta de tablón","Kit de barricade à travers l'étagère","架通路障套件","板戸用バリケード・キット","Kit de barricada para portas de tábuas","架通路障套件",
"STR_PBPlankDoorBarricadeKit1","Set of items to build a plank door barricade |T1|","Set of items to build a plank door barricade |T1|","Sada předmětů pro stavbu prkenné zátarasy |T1|","Satz von Gegenständen zum Bau einer Türbarrikade aus Brettern |T1|","Набор предметов для постройки дверной баррикады из досок |T1|","Zestaw elementów do zbudowania barykady drzwi z desek |T1|","Tételkészlet egy deszkaajtós barikád építéséhez |T1|","Set di articoli per costruire una barricata per porte in legno |T1|","Conjunto de elementos para construir una barricada de puerta de tablones |T1|","Ensemble d'éléments pour construire une porte barricade en planches |T1|","建造木板门路障的一套物品 |T1|","板戸のバリケードを作るためのアイテム一式 |T1|","Conjunto de artigos para construir uma barricada de porta de tábuas |T1|","建造木板门路障的一套物品 |T1|",
"STR_PBWellKit0","Well kit","Well kit","Sada studní","Brunnenbausatz","Комплект колодца","Zestaw do studni","Kútkészlet","Kit pozzo","Kit de pozos","Kit de puits","水井套件","井戸キット","Kit de poços","水井套件",
"STR_PBWellKit1","Set of items to build a well","Set of items to build a well","Sada položek pro stavbu studny","Satz von Gegenständen zum Bau eines Brunnens","Набор предметов для постройки колодца","Zestaw elementów do budowy studni","A kútépítéshez szükséges elemek készlete","Set di articoli per la costruzione di un pozzo","Conjunto de elementos para construir un pozo","Ensemble d'éléments pour la construction d'un puits","建井的一套物品","井戸を作るためのアイテム一式","Conjunto de objectos para construir um poço","建井的一套物品",
"STR_PBWoodGateKit0","Wooden gate kit","Wooden gate kit","Sada dřevěné brány","Bausatz Holztor","Комплект ворот из дерева","Zestaw do bram drewnianych","Fa kapu készlet","Kit cancello in legno","Kit de puerta de madera","Kit de portail en bois","木制大门套件","木製ゲートキット","Kit para portões de madeira","木制大门套件",
"STR_PBWoodGateKit1","Set of items to build a wood gate |T1|","Set of items to build a wood gate |T1|","Sada předmětů pro stavbu dřevěné brány |T1|","Bausatz für ein Holztor |T1|","Набор предметов для постройки ворот из дерева |T1|","Zestaw elementów do budowy drewnianej bramy |T1|","Fa kapu építéséhez szükséges elemek készlete |T1|","Set di articoli per costruire un cancello in legno |T1|","Conjunto de elementos para construir una puerta de madera |T1|","Ensemble d'éléments pour la construction d'un portail en bois |T1|","建造木门的一套物品 |T1|","木製の門を作るためのアイテム一式 |T1|","Conjunto de artigos para construir um portão de madeira |T1|","建造木门的一套物品 |T1|",
"STR_PBPlankWindowKit0","Plank window kit","Plank window kit","Sada prkenných oken","Bausatz Dielenfenster","Комплект окна из досок","Zestaw okienny z desek","Deszka ablak készlet","Kit finestra a listelli","Kit de ventana de tablón","Kit de fenêtres à lamelles","木板窗套件","板窓キット","Kit para janelas de tábuas","木板窗套件",
"STR_PBPlankWindowKit1","Set of items to build a plank window |T1|","Set of items to build a plank window |T1|","Sada položek pro sestavení prkenného okna |T1|","Satz von Gegenständen zum Bau eines Bretterfensters |T1|","Набор предметов для постройки окна из досок |T1|","Zestaw elementów do budowy okna z desek |T1|","Tételkészlet egy deszkaablak építéséhez |T1|","Set di elementi per costruire una finestra a listelli |T1|","Conjunto de elementos para construir una ventana de tablones |T1|","Ensemble d'éléments pour construire une fenêtre en planches |T1|","制作木板窗的一套物品 |T1|","板窓を作るためのアイテム一式 |T1|","Conjunto de artigos para construir uma janela de tábuas |T1|","制作木板窗的一套物品 |T1|",
"STR_PBWoodDoor","Wooden door","Wooden door","Dřevěné dveře","Holztür","Дверь из дерева","Drewniane drzwi","Fa ajtó","Porta in legno","Puerta de madera","Porte en bois","木门","木製ドア","Porta de madeira","木门",
"STR_PBPlankDoor","Plank door","Plank door","Prkenné dveře","Dielentür","Дверь из досок","Drzwi z desek","Deszka által","Porta a listoni","Puerta de tablones","Porte à lamelles","木板门","プランク・バイ","Porta de prancha","木板门",
"STR_PBMetalDoor","Metal door","Metal door","Kovové dveře","Metalltür","Дверь из металла","Metalowe drzwi","Fém ajtó","Porta in metallo","Puerta metálica","Porte métallique","金属门","金属製ドア","Porta metálica","金属门",
"STR_PBPlankBarricade","Plank barricade","Plank barricade","Prkenná barikáda","Planke Barrikade","Баррикада из досок","Barykada z desek","Deszkás barikád","Barricata di assi","Barricada de tablones","Barricade en planches","木板路障","板バリケード","Barricada de pranchas","木板路障",
"STR_PBMetalBarricade","Metal barricade","Metal barricade","Kovová barikáda","Metallbarrikade","Баррикада из металла","Metalowa barykada","Fém barikád","Barricata di metallo","Barricada metálica","Barricade métallique","金属路障","金属バリケード","Barricada metálica","金属路障",
"STR_PBBrickBarricade","Brick barricade","Brick barricade","Cihlová barikáda","Ziegelstein-Barrikade","Баррикада из кирпича","Ceglana barykada","Tégla barikád","Barricata in mattoni","Barricada de ladrillos","Barricade en briques","砖砌路障","レンガのバリケード","Barricada de tijolos","砖砌路障",
"STR_PBWoodWall","Wooden wall","Wooden wall","Dřevěná stěna","Holzwand","Стена из дерева","Drewniana ściana","Fából készült fal","Parete in legno","Pared de madera","Mur en bois","木质墙壁","木の壁","Parede de madeira","木质墙壁",
"STR_PBMetalWall","Metal wall","Metal wall","Kovová stěna","Metallwand","Стена из металла","Metalowa ściana","Fém fal","Parete in metallo","Pared metálica","Paroi métallique","金属墙","金属壁","Parede metálica","金属墙",
"STR_PBPlankDoorBarricade","Plank door barricade","Plank door barricade","Dveřní zábrana z prken","Plankentür Barrikade","Дверная баррикада из досок","Barykada drzwi z desek","Deszka át a barikádon","Barricata per porte in legno","Barricada de puerta de tablón","Barricade de porte en planches","板门路障","バリケード越しの板","Prancha através de barricada","板门路障",
"STR_PBMetalDoorBarricade","Metal door barricade","Metal door barricade","Kovové dveřní zábrany","Türbarrikade aus Metall","Дверная баррикада из металла","Metalowa barykada na drzwi","Fém barikáddal","Barriera metallica per porte","Barricada metálica para puertas","Barricade de porte en métal","金属门路障","バリケードによる金属","Metal por barricada","金属门路障",
"STR_PBBrickDoorBarricade","Brick door barricade","Brick door barricade","Cihlové dveře Barikáda","Türbarrikade aus Backstein","Дверная баррикада из кирпича","Ceglana barykada drzwi","Tégla a barikádon","Barriera di porte in mattoni","Barricada para puerta de ladrillo","Barricade de porte en brique","砖门路障","バリケードによるレンガ","Barricada de porta de tijolo","砖门路障",
"STR_PBWell0","Well","Well","Studna","Brunnen","Колодец","Studnia","Kút","Pozzo","Pozo","Puits","井","井戸","Poço","井",
"STR_PBWell1","A stone well to collect water","A stone well to collect water","Kamenná studna na sběr vody","Ein Steinbrunnen zum Sammeln von Wasser","Каменный колодец для сбора воды","Kamienna studnia do zbierania wody","Kőkút a vízgyűjtéshez","Un pozzo di pietra per raccogliere l'acqua","Un pozo de piedra para recoger agua","Un puits en pierre pour recueillir l'eau","取水的石井","水を汲むための石の井戸","Um poço de pedra para recolher água","取水的石井",
"STR_PBPlankWindow","Plank window","Plank window","Okno z prken","Plankenfenster","Окно из досок","Okno z desek","Deszka ablak","Finestra a listelli","Ventana de tablones","Fenêtre à lamelles","木板窗","板窓","Janela de tábuas","木板窗",
"STR_PBMetalWindow","Metal window","Metal window","Kovové okno","Metallfenster","Окно из металла","Metalowe okno","Fém ablak","Finestra in metallo","Ventana metálica","Fenêtre en métal","金属窗","メタル・ウィンドウ","Janela metálica","金属窗",
"STR_PBWoodGate","Wooden gate","Wooden gate","Dřevěná brána","Holztor","Ворота из дерева","Drewniana brama","Fa kapu","Cancello di legno","Puerta de madera","Portail en bois","木制大门","木製ゲート","Portão de madeira","木制大门",
"STR_PBMetalGate","Metal gate","Metal gate","Kovová brána","Metalltor","Ворота из металла","Metalowa brama","Fémkapu","Cancello in metallo","Portón metálico","Portail métallique","金属闸门","メタルゲート","Portão metálico","金属闸门",
"STR_PBSmallMetalPlate0","Small metal sheets","Small metal sheets","Malý kovový plech","Kleines Metallblech","Малый металлический лист","Mały arkusz metalu","Kis fémlemez","Lamiera metallica piccola","Pequeña chapa metálica","Petites feuilles de métal","小金属板","小型金属板","Pequenas chapas metálicas","小金属板",
"STR_PBSmallMetalPlate1","Small metal parts to build structures","Small metal parts to build structures","Drobné kovové díly pro stavbu konstrukcí","Kleine Metallteile, um Strukturen zu bauen","Небольшие куски металла для сборки различных конструкций","Małe części metalowe do budowy konstrukcji","Kisméretű fém alkatrészek szerkezetek építéséhez","Piccole parti metalliche per costruire strutture","Pequeñas piezas metálicas para construir estructuras","Petites pièces métalliques pour construire des structures","用于建造结构的小型金属部件","構造物を作るための小さな金属部品","Pequenas peças metálicas para construir estruturas","用于建造结构的小型金属部件",
"STR_SlotDragunov","Code Lock","Code Lock","Kódový zámek","Code-Sperre","Кодовый замок","Blokada kodowa","Kódzár","Blocco del codice","Código de bloqueo","Verrouillage du code","密码锁","コードロック","Bloqueio de código","密码锁",
"STR_PBBrick","Small Brick","Small Brick","Malá cihla","Kleiner Ziegelstein","Кирпич","Mała cegła","Kis tégla","Mattone piccolo","Ladrillo pequeño","Petite brique","小砖","スモールブリック","Tijolo pequeno","小砖",
"STR_PBStone","Huge stone","Huge stone","Obrovský kámen","Riesiger Stein","Огромный камень","Ogromny kamień","Hatalmas kő","Pietra enorme","Piedra enorme","Une pierre énorme","巨大的石头","巨大な石","Pedra enorme","巨大的石头",
"STR_CraftBarricadeKit","Make a barricade kit","Make a barricade kit","Vyrobit barikádovou sadu","Bausatz für Barrikaden","Собрать комплект баррикады","Stwórz zestaw barykadowy","Készítsen barikád készletet","Realizzare un kit di barricate","Haz un kit de barricadas","Fabriquer un kit de barricade","制作路障包","バリケードキットを作る","Fazer um kit de barricada","制作路障包",
"STR_CraftDoorBarricadeKit","Make a door barricade kit","Make a door barricade kit","Vytvořte sadu dveřních zábran","Bausatz für Türbarrikaden","Собрать комплект дверной баррикады","Zestaw do barykadowania drzwi","Készítsen ajtóbarikád készletet","Realizzare un kit di barricate per porte","Haz un kit de barricadas para puertas","Fabriquer un kit de barricade de porte","制作门障套件","ドア・バリケード・キットを作る","Fazer um kit de barricada para portas","制作门障套件",
"STR_CraftWindowBarricadeKit","Make a window barricade kit","Make a window barricade kit","Vytvořte sadu pro zabarikádování oken","Bausatz für Fensterbarrikaden","Собрать комплект оконной баррикады","Zestaw do barykadowania okien","Készítsen ablak barikád készletet","Realizzare un kit di barricate per finestre","Hacer un kit de barricadas para ventanas","Fabriquer un kit de barricade de fenêtre","制作窗户路障套件","窓用バリケードキットを作る","Fazer um kit de barricada para janelas","制作窗户路障套件",
"STR_CraftWindowKit","Make a window kit","Make a window kit","Vytvořte sadu pro oken","Bausatz für Fenster","Собрать комплект окна","Zestaw do okien","Készítsen ablak készletet","Realizzare un kit di finestre","Hacer un kit de ventanas","Fabriquer un kit de  fenêtre","制作窗户路障套件","窓用バリケードキットを作る","Fazer um kit de janelas","制作窗户路障套件",
"STR_CraftWallWoodKit","Make a wood wall kit","Make a wood wall kit","Vyrobit sadu dřevěných stěn","Bausatz für eine Holzwand","Собрать комплект стены из дерева","Zestaw ścienny z drewna","Készítsen fa fali készletet","Realizzare un kit per pareti in legno","Hacer un kit de pared de madera","Fabriquer un kit mural en bois","制作木墙套件","ウッドウォールキットを作る","Fazer um kit de parede de madeira","制作木墙套件",
"STR_CraftWellKit","Make a well kit","Make a well kit","Sada na výrobu studní","Brunnenbaukasten","Собрать комплект колодца","Zestaw do tworzenia studni","Készítsen kútkészletet","Realizzare un kit di pozzi","Hacer un kit de pozos","Fabriquer un kit de puits","制作打井工具包","井戸キットを作る","Fazer um kit de poço","制作打井工具包",
"STR_CraftMetalDoorKit","Make a metal door kit","Make a metal door kit","Vyrobit sadu kovových dveří","Bausatz für Metalltüren","Собрать комплект металлической двери","Zestaw metalowych drzwi","Készítsen fém ajtó készletet","Realizzare un kit di porte in metallo","Hacer un kit de puerta metálica","Fabriquer un kit de porte métallique","制作金属门套件","金属製ドアキットを作る","Fazer um kit de porta metálica","制作金属门套件",
"STR_CraftPlankDoorKit","Make a plank door kit","Make a plank door kit","Vytvořte sadu prkenných dveří","Dielentür-Bausatz herstellen","Собрать комплект  двери из досок","Zestaw drzwi z desek","Készítsen deszka ajtó készletet","Realizzare un kit di porte in legno","Hacer un kit de puerta de tablones","Fabriquer un kit de porte en planches","制作木板门套件","板戸キットを作る","Fazer um kit de porta de tábuas","制作木板门套件",
"STR_CraftWoodGateKit","Make a wood gate kit","Make a wood gate kit","Vyrobit sadu dřevěné brány","Bausatz für ein Holztor","Собрать комплект ворот из дерева","Zestaw do bram drewnianych","Készítsen fa kapu készletet","Realizzare un kit per cancelli in legno","Kit para hacer una porton de madera","Fabriquer un kit de portail en bois","制作木制大门套件","ウッドゲートキットを作る","Fazer um kit de portão de madeira","制作木制大门套件",
"STR_CraftSmallMetalSheet","Make a small sheets","Make a small sheets","Vyrobit malý listy","Kleine Blätter herstellen","Сделать малые пластины","Tworzenie małych arkuszy","Készítsünk kis lapokat","Realizzare una piccola lastra","Hacer pequeñas hojas","Fabriquer des petites feuilles","制作一个小床单","小さなシートを作る","Fazer uma pequena folha","制作一个小床单",
"STR_CraftWoodDoorKit","Make a wood door kit","Make a wood door kit","Vyrobit sadu dřevěných dveří","Bausatz für Holztüren","Собрать комплект  двери из дерева","Zestaw do drzwi drewnianych","Készítsen fa ajtó készletet","Realizzare un kit di porte in legno","Hacer un kit de puerta de madera","Fabriquer un kit de porte en bois","制作木门套件","木製ドアキットを作る","Fazer um kit de porta de madeira","制作木门套件",
"STR_PBUpgrade","Reinforce","Reinforce","Posílit","Verstärken","Усиление","Wzmocnienie","Megerősítés","Rinforzare","Refuerce","Renforcer","加强","強化","Reforçar","加强",
"STR_PBDestroy","Destroy","Destroy","Zničit","Zerstören","Сломать","Zniszczenie","Pusztítsd","Distruggere","Destruye","Détruire","销毁","破壊する","Destruir","销毁",
"STR_PBDismantle","Dismantle","Dismantle","Demontáž","Demontieren","Разобрать","Demontaż","Szétszerelés","Smantellare","Desmontar","Démanteler","拆除","解体","Desmontar","拆除",
